61763,61735
26162,17388
36869,34751
40170,29010
29576,29564
37835,42725
17777,13525
20400,20423
23986,20711
49824,42477
26761,26871
66616,74647
80651,30738
24507,23329
27555,26400
16527,5060
16799,17134
26159,76839
23997,22844
46330,23524
81412,80310
70519,64416
31846,9233
16459,8044
77702,77006
25551,25385
21917,17133
25325,24188
29967,29005
27147,29986
40794,4707
30560,32202
38123,37940
42731,42730
85597,87293
20623,7914
43824,36630
16801,15340
73515,81561
21833,35293
18130,1366
64114,37252
43359,35217
47801,46232
27547,27559
26771,18439
16538,16694
28112,21480
16876,14685
27248,25860
16047,15114
67681,57961
23963,15668
38112,36118
53959,49971
82981,79566
79739,78916
55701,1723
72907,72760
16581,13002
72415,73044
16121,15986
62894,58856
53659,47728
72985,60710
20181,16123
55338,55249
56664,53144
39256,35316
48897,22261
67621,42231
25530,23222
17037,14858
33925,9212
34307,34035
84455,83427
75848,36409
20998,16672
35451,14873
34071,31424
28375,18627
60632,58513
53460,43697
17108,13943
73716,73300
19544,17844
23173,22979
61737,60712
39159,16484
30835,29926
44861,17301
47126,44738
80947,34690
28837,30427
27295,25739
43966,27765
77275,35965
80238,89477
33524,23839
83480,83268
31118,31108
25491,33496
17738,10095
23307,4060
58562,41887
38784,36409
80102,76688
28081,4265
75210,75438
20711,17156
86946,76722
80529,74722
24047,2581
58971,60712
19764,8470
21690,15668
75271,75042
24751,22168
46277,32684
51865,47801
84052,72637
85294,81443
42028,41910
26341,14177
18551,17532
16913,16434
24930,23418
83370,82250
25137,25068
22753,20423
62307,60856
84101,36291
35578,4482
16119,12666
54925,52553
19775,19840
53561,54548
18890,16701
68378,46855
35381,32054
58687,58686
64274,21708
85540,50418
34129,32211
19644,17542
23947,6498
83738,43833
73161,74850
69518,61085
28942,28717
46120,36628
50101,29356
36287,48687
34698,2646
81411,80093
76211,57642
49831,66257
23898,23287
18921,20697
20399,20711
67538,66388
78712,72243
60447,58864
17023,4957
36602,16640
85201,14681
37914,37859
51319,50308
66064,31171
16060,13866
21739,17822
20825,10057
31171,43539
23822,22619
25726,20148
19670,19262
22574,21909
64913,61409
35807,32469
58863,2538
43829,85518
16794,16705
40639,1418
50702,22240
49964,56424
25524,17639
35430,34933
16930,16701
40134,39898
28964,28717
51021,41983
18686,9507
79091,76715
32778,29753
22399,23472
57965,57966
64370,49392
81560,66129
27367,27175
36155,30738
69609,36744
15863,16232
70444,41478
16703,16634
43515,38536
27244,27147
29036,26126
15926,20676
73803,73060
64156,81645
21061,2128
20916,7499
78911,65146
82683,1723
19560,26484
26624,3395
26022,29889
17748,17147
24306,79793
80207,11842
20839,20764
35363,31380
17186,33263
50931,18356
70449,82479
23452,23134
33211,18794
66530,65920
58248,57536
38063,4716
32037,17388
17574,16714
25775,26405
74477,52084
18797,18745
18952,4988
63966,61663
23745,22644
61829,51246
24511,24579
58209,57536
81567,18491
19401,3189
50680,49378
34087,33944
75581,75637
83607,35796
61145,70883
55699,16698
33001,33002
39415,38563
33002,15958
25687,17532
27002,38051
28747,17388
24107,5058
18817,17468
57690,57536
26458,19249
36292,4881
35730,23957
35041,18637
15952,17741
54078,17301
26155,25920
53922,18901
87002,86122
48197,48019
57971,54345
67458,67776
36744,26056
53056,47831
19993,33656
27610,27609
51260,51757
44050,43713
70565,70453
84545,84447
50582,49143
60881,33800
40360,39782
21431,21355
66855,66365
59278,58325
22702,13730
49144,17720
86944,81734
86792,72502
23707,24463
17032,26056
51568,38990
21253,15247
20326,14477
19976,19694
19480,18685
76950,76936
30181,28227
35155,8112
73224,66870
31792,5734
16318,19252
18941,29066
49610,49563
42316,5734
18519,18704
43263,42835
70515,54793
36689,35677
84864,79189
44357,7189
30273,18500
56237,737
24180,16875
81165,5734
34376,68718
30992,28412
34459,2207
49484,47931
30729,30711
22795,18331
23137,27707
81620,81619
60263,58349
38011,26497
25989,13653
80719,81849
35485,17532
56678,49962
17140,17297
24468,24466
56019,61315
23551,23115
28759,26828
72775,68818
30159,3210
26866,25739
59712,52617
22322,22373
83296,83297
20221,3319
81206,82029
36551,26528
32813,5058
48957,43970
62923,15424
67290,71995
68189,42231
27152,15287
82044,75601
50039,16123
81045,69423
65954,65009
40408,36526
78813,79465
61192,57241
67945,62964
55783,63055
75811,70412
56307,62035
50580,55797
77463,43156
26146,19796
75989,55896
53495,50059
83257,4060
77867,77579
23066,23534
19334,16595
20883,20067
16127,16064
34268,34193
22551,35293
32214,31310
46449,45223
42053,36409
72011,49330
64903,64804
45106,1084
16923,16123
73373,73044
62510,62502
19951,35353
70933,82624
33829,31549
